,0,1,2
200,-0.2,0.025,0.075
201,-0.2,0.025,0.1
202,-0.2,0.025,0.125
203,-0.2,0.025,0.15
204,-0.2,0.025,0.175
205,-0.2,0.025,0.2
206,-0.2,0.025,0.225
207,-0.2,0.025,0.25
208,-0.2,0.025,0.275
209,-0.2,0.025,0.3
210,-0.2,0.05,-0.2
211,-0.2,0.05,-0.175
212,-0.2,0.05,-0.15
213,-0.2,0.05,-0.125
214,-0.2,0.05,-0.1
215,-0.2,0.05,-0.075
216,-0.2,0.05,-0.05
217,-0.2,0.05,-0.025
218,-0.2,0.05,0
219,-0.2,0.05,0.025
220,-0.2,0.05,0.05
221,-0.2,0.05,0.075
222,-0.2,0.05,0.1
223,-0.2,0.05,0.125
224,-0.2,0.05,0.15
225,-0.2,0.05,0.175
226,-0.2,0.05,0.2
227,-0.2,0.05,0.225
228,-0.2,0.05,0.25
229,-0.2,0.05,0.275
230,-0.2,0.05,0.3
231,-0.2,0.075,-0.2
232,-0.2,0.075,-0.175
233,-0.2,0.075,-0.15
234,-0.2,0.075,-0.125
235,-0.2,0.075,-0.1
236,-0.2,0.075,-0.075
237,-0.2,0.075,-0.05
238,-0.2,0.075,-0.025
239,-0.2,0.075,0
240,-0.2,0.075,0.025
241,-0.2,0.075,0.05
242,-0.2,0.075,0.075
243,-0.2,0.075,0.1
244,-0.2,0.075,0.125
245,-0.2,0.075,0.15
246,-0.2,0.075,0.175
247,-0.2,0.075,0.2
248,-0.2,0.075,0.225
249,-0.2,0.075,0.25
250,-0.2,0.075,0.275
251,-0.2,0.075,0.3
252,-0.2,0.1,-0.2
253,-0.2,0.1,-0.175
254,-0.2,0.1,-0.15
255,-0.2,0.1,-0.125
256,-0.2,0.1,-0.1
257,-0.2,0.1,-0.075
258,-0.2,0.1,-0.05
259,-0.2,0.1,-0.025
260,-0.2,0.1,0
261,-0.2,0.1,0.025
262,-0.2,0.1,0.05
263,-0.2,0.1,0.075
264,-0.2,0.1,0.1
265,-0.2,0.1,0.125
266,-0.2,0.1,0.15
267,-0.2,0.1,0.175
268,-0.2,0.1,0.2
269,-0.2,0.1,0.225
270,-0.2,0.1,0.25
271,-0.2,0.1,0.275
272,-0.2,0.1,0.3
273,-0.2,0.125,-0.2
274,-0.2,0.125,-0.175
275,-0.2,0.125,-0.15
276,-0.2,0.125,-0.125
277,-0.2,0.125,-0.1
278,-0.2,0.125,-0.075
279,-0.2,0.125,-0.05
280,-0.2,0.125,-0.025
281,-0.2,0.125,0
282,-0.2,0.125,0.025
283,-0.2,0.125,0.05
284,-0.2,0.125,0.075
285,-0.2,0.125,0.1
286,-0.2,0.125,0.125
287,-0.2,0.125,0.15
288,-0.2,0.125,0.175
289,-0.2,0.125,0.2
290,-0.2,0.125,0.225
291,-0.2,0.125,0.25
292,-0.2,0.125,0.275
293,-0.2,0.125,0.3
294,-0.2,0.15,-0.2
295,-0.2,0.15,-0.175
296,-0.2,0.15,-0.15
297,-0.2,0.15,-0.125
298,-0.2,0.15,-0.1
299,-0.2,0.15,-0.075
300,-0.2,0.15,-0.05
301,-0.2,0.15,-0.025
302,-0.2,0.15,0
303,-0.2,0.15,0.025
304,-0.2,0.15,0.05
305,-0.2,0.15,0.075
306,-0.2,0.15,0.1
307,-0.2,0.15,0.125
308,-0.2,0.15,0.15
309,-0.2,0.15,0.175
310,-0.2,0.15,0.2
311,-0.2,0.15,0.225
312,-0.2,0.15,0.25
313,-0.2,0.15,0.275
314,-0.2,0.15,0.3
315,-0.2,0.175,-0.2
316,-0.2,0.175,-0.175
317,-0.2,0.175,-0.15
318,-0.2,0.175,-0.125
319,-0.2,0.175,-0.1
320,-0.2,0.175,-0.075
321,-0.2,0.175,-0.05
322,-0.2,0.175,-0.025
323,-0.2,0.175,0
324,-0.2,0.175,0.025
325,-0.2,0.175,0.05
326,-0.2,0.175,0.075
327,-0.2,0.175,0.1
328,-0.2,0.175,0.125
329,-0.2,0.175,0.15
330,-0.2,0.175,0.175
331,-0.2,0.175,0.2
332,-0.2,0.175,0.225
333,-0.2,0.175,0.25
334,-0.2,0.175,0.275
335,-0.2,0.175,0.3
336,-0.2,0.2,-0.2
337,-0.2,0.2,-0.175
338,-0.2,0.2,-0.15
339,-0.2,0.2,-0.125
340,-0.2,0.2,-0.1
341,-0.2,0.2,-0.075
342,-0.2,0.2,-0.05
343,-0.2,0.2,-0.025
344,-0.2,0.2,0
345,-0.2,0.2,0.025
346,-0.2,0.2,0.05
347,-0.2,0.2,0.075
348,-0.2,0.2,0.1
349,-0.2,0.2,0.125
350,-0.2,0.2,0.15
351,-0.2,0.2,0.175
352,-0.2,0.2,0.2
353,-0.2,0.2,0.225
354,-0.2,0.2,0.25
355,-0.2,0.2,0.275
356,-0.2,0.2,0.3
357,-0.2,0.225,-0.2
358,-0.2,0.225,-0.175
359,-0.2,0.225,-0.15
360,-0.2,0.225,-0.125
361,-0.2,0.225,-0.1
362,-0.2,0.225,-0.075
363,-0.2,0.225,-0.05
364,-0.2,0.225,-0.025
365,-0.2,0.225,0
366,-0.2,0.225,0.025
367,-0.2,0.225,0.05
368,-0.2,0.225,0.075
369,-0.2,0.225,0.1
370,-0.2,0.225,0.125
371,-0.2,0.225,0.15
372,-0.2,0.225,0.175
373,-0.2,0.225,0.2
374,-0.2,0.225,0.225
375,-0.2,0.225,0.25
376,-0.2,0.225,0.275
377,-0.2,0.225,0.3
378,-0.2,0.25,-0.2
379,-0.2,0.25,-0.175
380,-0.2,0.25,-0.15
381,-0.2,0.25,-0.125
382,-0.2,0.25,-0.1
383,-0.2,0.25,-0.075
384,-0.2,0.25,-0.05
385,-0.2,0.25,-0.025
386,-0.2,0.25,0
387,-0.2,0.25,0.025
388,-0.2,0.25,0.05
389,-0.2,0.25,0.075
390,-0.2,0.25,0.1
391,-0.2,0.25,0.125
392,-0.2,0.25,0.15
393,-0.2,0.25,0.175
